action,keywords,parent,description,title,application_type
2D_viewer,,two_d_viewer_gui.panel,,,
2d_viewer,2D Viewer,,,2D Viewer...,Structure Analysis
3dopt,,,"Set options for stereo display, perspective, and fogging (depth cueing). <br/>Opens the Appearance panel at the 3D tab.",,
KNIME_maestro_connector.panel,,,"Connect to a KNIME session, and send and receive structures and their properties from that session.<br/>Opens the Structure Exchange with KNIME panel.",,
KNIME_workflow_wrapper.runNew,,,Create a Python script to run a new KNIME workflow.,,
abfe_gui.panel,,,Calculate the absolute binding free energy for a noncovalent ligand-receptor complex.<br/>Opens the FEP+ panel.,,
ace_analysis_gui.panel,,,"Display and select results of compound extraction from a PDF file, and import them into Maestro.<br/>Opens the Automated Compound Extraction Results Panel.",,
ace_segmentation_gui.main,,,Extract molecular structures (compounds) from structure figures in a PDF file for import into Maestro.<br/>Opens the Automated Compound Extraction Panel.,,
active_learning_glide,,,,Active Learning Docking...,Receptor-Based Virtual Screening
active_learning_glide_gui.panel,,,Dock a large number of ligands by training a QSAR model on a subset of the ligands and using the model to score the remaining ligands.<br/>Opens the Batch Glide Screening with Active Learning Panel.,,
add_caption,,,"Add a caption to the Workspace. You can set the background, font, and text color as well as type in the caption text. <br/>Opens the New Caption dialog box.",,
adjust_residue_numbering,,,,Adjust Residue Numbering...,Workspace Operations
adjust_residue_numbering_panel.panel,,,Renumber residues in multiple proteins based on a mapping derived from structural alignment to a template structure.<br/>Opens the Adjust Residue Numbering panel.,,
adme_amphiphilic_moment,ADME/tox,,,Amphiphilic Moment...,Other Applications
adme_membrane_permeability,ADME/tox,,,Membrane Permeability...,Other Applications
adsorbant_enumeration_gui.panel,,,"<!-- enumerate, adsorbate-->Build chemically reasonable initial adsorbate geometries for all combinations of a set of molecules on a set of surfaces.",,
adsorption_energy_gui.panel,,,"Calculate the adsorption energies of molecules on substrates at 0 K and 1 atm, and the adsorption free energy at a range of temperatures and pressures.<br/>Opens the Adsorption Energy Calculations Panel.",,
advanced_loop_model_gui.panel,,,Predict CDR loops in an antibody using Prime loop prediction.<br/>Opens the Antibody Loop Modeling Panel.,Antibody Loop Refinement...,Biologics
align_binding_sites,"alignment, superimpose, superpose, superimposition",,,Binding Site Alignment...,Structure Alignment
align_binding_sites_gui.panel,,,Align the binding sites (or other structural features) of members of a family of proteins by running a global alignment. The list of atoms to use in a pairwise alignment is generated from the selected residues.<br/>Opens the Align Binding Sites panel.,,
align_center_of_mass,,,Translate all entries in the Workspace to align their centers of mass.,Align by Center of Mass,Structure Alignment
alignatoms,,,Align the Workspace structure so that selected atoms lie on one of the Cartesian axes or planes.<br/>Opens the Align Atoms panel.,,
alldist.panel,,,Display all distances between a selected atom or atoms in a selected residue and the atoms that are not bonded to it that are within a distance threshold.<br/>Opens the Display All Distances panel.,,
alt_positions,,,"For protein structures with partial occupancies, display the atoms for all occupancies. The alternate positions are displayed as ghost atoms.",,
amorphous_nmr,,amorphous_nmr_gui.panel,,,
amorphous_nmr_gui.panel,,,"Calculate NMR shieldings for molecules in an amorphous structure, taking into account the immediate environment of each molecule.<br/>Opens the Amorphous NMR Calculations panel.",,
amorphous_properties,"QM, quantum mechanics",,,Amorphous Properties...,Quantum Mechanics
amphiphilic_moment_gui.panel,,,"<!-- phospholipidosis -->Calculate the amphiphilic moment of a set of molecules, which must be positively charged.<br/>Opens the Amphiphilic Moment panel.",,
analyzeenergy,,,"<!-- protein -->
Evaluate the energy of a structure, and decompose the total energy into its components for visualization using the Prime Energy Visualizer panel.<br/>Opens the Analyze Energy panel.",,
antibody_db_manage_gui.panel,,,"Create a new antibody database or edit an existing database. Import data to or export data from the database. Antibody databases are used by the Antibody Modeling panel for the purpose of predicting structure. In the Antibody Modeling panel, you can specify which databases are used in the modeling process.<br/>Opens the Antibody Database Management panel.",,
antibody_humanization_gui.panel,,,"<!-- veneering, cdr, resurfacing -->
Humanize an antibody by mutating individual amino acids to variants found in homologous human sequences at the same location. Facilities for importing human homologs, sequence alignment, and applying filters based on variation and other criteria are provided. Once a set of mutation sites of interest has been identified, a residue scan for the set is set up and performed to determine how those changes would change properties such as stability, affinity, and exposed surface area.<br/>Opens the Antibody Humanization: Residue Mutation panel.",,
antibody_humanization_ii_gui.panel,,cdr_grafting_gui.panel,,,
antibody_modeling_gui.panel,antibody modeling,,"Predict the variable loop (CDR) region of an antibody, including the hypervariable loops and the associated framework, by homology modeling.<br/>Opens the Antibody Structure Prediction Panel.",Antibody Structure Prediction...,Biologics
antibody_prediction_gui.panel,,,"Predict the variable loop (CDR) region of an antibody, including the hypervariable loops and the associated framework. Prediction is performed using homology modeling for both the framework and the loops, where the template structures are drawn from one or more curated databases of antibody structures, derived from the published PDB, or user-supplied. Once an initial model is created, you can repredict a selected CDR loop using the advanced de novo loop prediction facilities of Prime.<br/>Opens the Antibody Prediction panel.",,
app_desmond_fep_leadopt,,,"Build a perturbation scheme for FEP calculations on a set of congeneric ligands, and run the job to perform the calculations of the relative binding free energy.<br/>Opens the FEP Mapper panel.<!-- desmond -->",,
app_desmond_ligand_fep,,,"<!-- desmond, free energy, mutation -->
Calculate the change in binding energy of a ligand to a receptor when a ligand functional group is mutated to a different functional groups, using molecular dynamics free-energy perturbation. The functional group must be attached by a single bond to the ligand.<br/>Opens the Ligand Functional Group Mutation by FEP panel.",,
app_desmond_rebuild_system,Desmond,,Rebuild a model system for molecular dynamics simulation after editing the entry that contains the full model system.,Model System Regeneration...,Classical Simulation
app_desmond_ring_atom_fep,,,"<!-- desmond, FEP -->
Calculate the change in binding energy of a ligand to a receptor when an atom in the ligand is mutated to a different element, preserving the hybridization, using molecular dynamics free-energy perturbation.<br/>Opens the Atom Mutation by FEP panel.",,
app_jaguar_counterpoise,,jaguar_gui.counterpoise_panel,,,
app_jaguar_energy,,jaguar_gui.spe_panel,,,
app_jaguar_fukui,,jaguar_gui.fukui_panel,,,
app_jaguar_guess,,jaguar_gui.initial_guess_panel,,,
app_jaguar_hbond,,jaguar_gui.hb_panel,,,
app_jaguar_irc,,jaguar_gui.reaction_coord_panel,,,
app_jaguar_optimization,,jaguar_gui.optimization_panel,,,
app_jaguar_pka,,jaguar_gui.pka_panel,,,
app_jaguar_relaxed,,jaguar_gui.relaxed_scan_panel,,,
app_jaguar_rigid,,jaguar_gui.rigid_scan_panel,,,
app_jaguar_runbatch,,,Run a Jaguar batch job with a selected batch script. The batch script can specify a sequence of quantum mechanical calculations.<br/>Opens the Jaguar &mdash; Run Batch File panel.,,
app_jaguar_runfile,,,Run quantum mechanical calculations from a set of Jaguar input files.<br/>Opens the Jaguar &mdash; Run Input Files panel.,,
app_jaguar_spectraplot,"QM, quantum mechanics, Jaguar",,,Plot Spectra...,Quantum Mechanics
app_jaguar_transition,,jaguar_gui.transition_state_panel,,,
app_mcpro_analyze,,,"<!-- mcpro, MC, mc -->
Plot thermodynamic and energetic quantities that are generated from Monte Carlo simulations with MCPRO+<br/>Opens the MCPRO+ Analyze FEP panel.",,
app_mcpro_free,,,"<!-- mcpro, mcpro+, mc -->
Calculate the free-energy difference between two structures by Monte Carlo free-energy perturbation.<br/>Opens the MCPRO+ Free-Energy Difference by FEP panel.",,
app_mcpro_linear,,,"<!-- mcpro, mcpro+, sar, lia, lrm, mc -->
Calculate protein-ligand binding affinities for related ligands using Monte Carlo sampling and the Linear Interaction Approximation.<br/>Opens the MCPRO+ Linear Response panel.",,
app_mcpro_minimization,,,"<!-- mcpro, mcpro+, minimization, optimization -->
Minimize the geometry of a protein, a protein-ligand complex, or a single ligand.<br/>Opens the MCPRO+ Minimization panel.",,
app_mcpro_monte,,,"<!-- mcpro, mcpro+, trajectory, mc -->
Perform Monte Carlo sampling.<br/>Opens the MCPRO+ Monte Carlo Sampling panel.",,
app_mcpro_relative,,,"<!-- mcpro, mcpro+, sar, mc -->
Calculate protein-ligand or ligand free-energy differences between ligand functional groups using Monte Carlo free-energy perturbation.<br/>Opens the MCPRO+ Relative Binding Affinity by FEP panel",,
applications_epik,,epik_gui.panel,,,
applications_ligprep,,ligprep_gui.panel,,,
applications_task_view,,,Switch from Applications menu to Tasks menu.,,
assign bond orders,,,"Assign bond orders to structures that do not have the correct bond orders, based on a range of factors, including connectivity, bond length, bond angles and dihedral angles.",,
assign force field types,,,Assign atom types from the force field to the Workspace atoms.,,
assign partial charges,,,Assign partial charges to the Workspace atoms using the current force field.,,
assign_spg_gui.panel,,,Assign the space group for one or more crystal structures in the project.<br/>Opens the Assign Space Group panel.,,
assignsecondary,,,"Assign secondary structure to a protein, by identifying inter-backbone hydrogen bonds and searching for hydrogen-bonding patterns representing helices and strands.",,
atom_energy_color.panel,,,"Color atoms in the Workspace or entries using a color ramp based on a numeric property, such as an energy.<br/>Opens the Atom Energy Coloring panel.",,
atom_energy_coloring,"protein analysis, small molecule analysis",,,Atom Energy Coloring...,Structure Analysis
auto_enum_gui.panel,,,"Enumerate compounds based on multiple synthetic routes, with filtering on similarity to a reference compound, on properties, and functional groups.<br/>Opens the Automated Reaction-Based Enumeration panel.",Automated Reaction-Based Enumeration...,Enumeration and Ideation
auto_reaction_workflow_gui.panel,,,"Set up and run a set of optimizations with Jaguar on structures that are reactants, transition states, intermediates, or products in a in a reaction network enumeration, with an optional conformational search.<br/>Opens the Reaction Network Enumeration Profiler Panel.",,
autoconf_gui.panel,,,"Generate the lowest energy tautomers or conformers for a set of structures, with optional protonation or deprotonation.<br/>Opens the QM Conformer &amp; Tautomer Predictor panel",,
autoqsar_gui.panel,QSAR,,"Generate QSAR models for a chosen property of a set of compounds, and apply the QSAR model to other compounds, with either traditional QSAR methods or DeepChem deep learning methods.<br/>Opens the AutoQSAR panel.",AutoQSAR...,Biologics
autots_gui.panel,"automated, transition state, autoTS, QM, reaction path",,Run transition state searches in an automated fashion for a provided set of reactant and product structures.<br/>Opens the AutoTS: Perform Calculations panel.,AutoTS...,Quantum Mechanics
autots_viewer_gui.panel,autoTS,,"Display a summary of the results of a transition state search, including a diagram of the reaction path, list of structures, and summary of energies.<br/>Opens the AutoTS: View Results panel.",AutoTS Results...,Quantum Mechanics
average_structure,small molecule analysis,,,Average Structure...,Structure Analysis
average_structure.panel,,,Calculate the weighted average structure from a set of conformers selected in the Project Table.<br/>Opens the Calculate Average Structure panel.,,
band_structure_viewer_gui.panel,periodic dft,,"<!-- qe -->
Plot the band structure from a periodic DFT calculation.<br/>Opens the Band Structure Viewer panel.",,
bandshape_gui.panel,,,"Calculate the spectrum of an electronic transition between the ground state and the lowest singlet or triplet state, including the vibrational envelope, at multiple temperatures.<br/>Opens the Calculate Band Shape panel.",,
beta_elimination_gui.panel,,,"Calculate energies of beta hydrogen elimination reactions (1,2 elimination) and return product and unoptimized intermediate structures.<br/>Opens the Beta Elimination Reactions Panel.",,
binding_pose_metadynamics_gui.panel,,,"Run a series of metadynamics MD simulations on a set of binding configurations of a single ligand in a single binding site, to rank the poses and predict the correct binding pose.<br/>Opens the Binding Pose Metadynamics panel. ",Binding Pose Metadynamics...,Receptor-Based Virtual Screening
binding_site_detection,"binding, protein analysis, allosteric site, characterize binding site, find pocket",,,Binding Site Detection...,Structure Analysis
binding_surface_area,"binding, protein analysis, area",,,Binding Surface Area Analysis...,Structure Analysis
bioisostere_replacement,"scaffold, enumeration, bioisoster",,,Bioisostere Replacement...,Enumeration and Ideation
bioisostere_replacement_gui.panel,,,"Replace functional groups on a set of ligands with the corresponding bioisosteres, generating all single replacements.<br/>Opens the Bioisostere Replacement panel.",,
biologics_antibody_database_management,"antibody modeling, Ab, Ab DB, Fab, Fv",,,Antibody Database Management...,Biologics
biologics_antibody_prediction,"antibody modeling, Ab, Ab DB, Fab, Fv",,,,
biologics_chimeric_model_generation,"protein splicer, protein splicing, splicer, loop grafting, protein refinement, join proteins",,,Chimeric Model Generation...,Biologics
biologics_consensus_viewer,,,,Consensus Viewer...,Biologics
biologics_crosslink_proteins,"join proteins, linking, Amino Acid, NNAA/NSAA, Fusion Protein",,,Protein Linker Design...,Biologics
biologics_cysteine_mutation,disulfide,,,Cysteine Mutation...,Biologics
biologics_humanization_cdr_grafting,humanization,,,Humanization - CDR Grafting...,Biologics
biologics_humanization_mutation_results,"humanization, residue mutation",,,Humanization - Mutation Results...,Biologics
biologics_humanization_residue_mutation,"humanization, residue mutation, Amino Acid, NNAA/NSAA",,,Humanization - Residue Mutation...,Biologics
biologics_isr_calculate_energy,"implicit solvent refinement, refinement",,,Calculate Energy...,Biologics
biologics_isr_hybridmc,"implicit solvent refinement, refinement",,,Hybrid Monte Carlo...,Biologics
